"","LearningPlatformUsefulnessArxiv","LearningPlatformUsefulnessBlogs","LearningPlatformUsefulnessCollege","LearningPlatformUsefulnessCompany","LearningPlatformUsefulnessConferences","LearningPlatformUsefulnessFriends","LearningPlatformUsefulnessKaggle","LearningPlatformUsefulnessNewsletters","LearningPlatformUsefulnessCommunities","LearningPlatformUsefulnessDocumentation","LearningPlatformUsefulnessCourses","LearningPlatformUsefulnessProjects","LearningPlatformUsefulnessPodcasts","LearningPlatformUsefulnessSO","LearningPlatformUsefulnessTextbook","LearningPlatformUsefulnessTradeBook","LearningPlatformUsefulnessTutoring","LearningPlatformUsefulnessYouTube","CurrentJobTitleSelect","MLMethodNextYearSelect","WorkChallengeFrequencyPolitics","WorkChallengeFrequencyUnusedResults","WorkChallengeFrequencyUnusefulInstrumenting","WorkChallengeFrequencyDeployment","WorkChallengeFrequencyDirtyData","WorkChallengeFrequencyExplaining","WorkChallengeFrequencyPass","WorkChallengeFrequencyIntegration","WorkChallengeFrequencyTalent","WorkChallengeFrequencyDataFunds","WorkChallengeFrequencyDomainExpertise","WorkChallengeFrequencyML","WorkChallengeFrequencyTools","WorkChallengeFrequencyExpectations","WorkChallengeFrequencyITCoordination","WorkChallengeFrequencyHiringFunds","WorkChallengeFrequencyPrivacy","WorkChallengeFrequencyScaling","WorkChallengeFrequencyEnvironments","WorkChallengeFrequencyClarity","WorkChallengeFrequencyDataAccess","WorkChallengeFrequencyOtherSelect","WorkInternalVsExternalTools","FormalEducation"
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,"Very useful",NA,NA,"Very useful",NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,"Very useful",NA,NA,"Software Developer/Software Engineer","Deep learning","Often",NA,NA,NA,NA,"Often",NA,NA,"Often","Often",NA,"Often",NA,NA,NA,"Often",NA,NA,"Often",NA,NA,NA,"Do not know","Master's degree"
"16",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,"Somewhat useful","Somewhat useful","Very useful",NA,"Very useful",NA,NA,"DBA/Database Engineer","Rule Induction","Rarely","Sometimes",NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often","Sometimes",NA,"Do not know","Master's degree"
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,"Regression",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor's degree"
"20",NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,"Very useful","Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master's degree"
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,"Very useful",NA,NA,NA,NA,NA,"Scientist/Researcher","Proprietary Algorithms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master's degree"
"22","Somewhat useful",NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,"Very useful","Somewhat useful",NA,"Very useful",NA,"Researcher","Deep learning",NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Most of the time","More internal than external","Bachelor's degree"
"23","Somewhat useful","Not Useful",NA,NA,"Not Useful","Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,"Scientist/Researcher","Deep learning",NA,NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Entirely internal","Doctoral degree"
"24",NA,"Somewhat useful","Not Useful",NA,NA,NA,"Somewhat useful",NA,NA,"Very useful","Very useful",NA,NA,NA,"Very useful",NA,NA,NA,"Other","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,"Often",NA,NA,NA,NA,NA,"Sometimes",NA,"Most of the time",NA,"More external than internal","Some college/university study without earning a bachelor's degree"
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful","Very useful",NA,NA,"Somewhat useful",NA,NA,NA,"Software Developer/Software Engineer","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"More internal than external","Master's degree"
"26","Very useful",NA,"Very useful","Somewhat useful","Somewhat useful",NA,NA,NA,NA,"Somewhat useful","Somewhat useful",NA,NA,"Very useful","Very useful",NA,NA,NA,"Data Analyst","Genetic & Evolutionary Algorithms",NA,NA,NA,"Sometimes","Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes",NA,"Often","Sometimes",NA,"Approximately half internal and half external","Bachelor's degree"
"27",NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful","Very useful","Engineer","I don't plan on learning a new ML/DS method",NA,NA,NA,NA,"Often",NA,NA,NA,"Often",NA,"Often",NA,NA,NA,NA,NA,"Sometimes",NA,NA,"Sometimes",NA,NA,"More external than internal","Master's degree"
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful","Somewhat useful",NA,"Very useful",NA,NA,NA,NA,"Data Scientist","Ensemble Methods (e.g. boosting, bagging)","Most of the time",NA,NA,NA,"Often",NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,"Most of the time",NA,NA,NA,"Most of the time","Most of the time",NA,NA,"More internal than external","Master's degree"
"29","Very useful","Very useful",NA,"Somewhat useful","Somewhat useful",NA,"Somewhat useful",NA,"Somewhat useful",NA,NA,"Very useful","Somewhat useful","Somewhat useful","Very useful",NA,NA,"Somewhat useful","Data Scientist","Factor Analysis",NA,NA,NA,"Often","Sometimes",NA,NA,NA,"Most of the time",NA,NA,NA,"Most of the time",NA,"Often",NA,NA,"Most of the time","Often",NA,"Most of the time",NA,"Entirely internal","I did not complete any formal education past high school"
"30","Somewhat useful",NA,"Very useful",NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,"Somewhat useful","Somewhat useful",NA,"Somewhat useful","Somewhat useful",NA,"Genetic & Evolutionary Algorithms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master's degree"
"31",NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,"Business Analyst","Proprietary Algorithms","Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,"Often",NA,NA,NA,NA,NA,NA,"Entirely internal","Some college/university study without earning a bachelor's degree"
"32",NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,"Very useful","Very useful",NA,"Somewhat useful","Somewhat useful",NA,NA,"Very useful","Software Developer/Software Engineer","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,"Rarely",NA,"More internal than external","Master's degree"
"33","Very useful","Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful","Very useful",NA,NA,NA,"Data Scientist","Proprietary Algorithms","Often",NA,NA,"Often",NA,NA,NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,"Sometimes",NA,"Entirely internal","Doctoral degree"
"34","Somewhat useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,"Machine Learning Engineer","Deep learning",NA,NA,"Often",NA,"Sometimes",NA,NA,NA,"Sometimes",NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"More internal than external","Master's degree"
"35",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,"Somewhat useful","Somewhat useful",NA,"Very useful","Somewhat useful",NA,NA,NA,"Engineer","Deep learning",NA,NA,NA,NA,"Sometimes","Sometimes",NA,NA,NA,NA,"Often",NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,"Sometimes",NA,"Entirely internal","Doctoral degree"
"36",NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Social Network Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Professional degree"
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Doctoral degree"
"38","Very useful","Somewhat useful","Somewhat useful","Very useful","Somewhat useful",NA,"Somewhat useful","Somewhat useful","Somewhat useful","Somewhat useful","Somewhat useful","Very useful","Somewhat useful","Somewhat useful","Somewhat useful","Somewhat useful","Somewhat useful","Somewhat useful","Machine Learning Engineer","Deep learning",NA,NA,NA,"Sometimes","Often",NA,NA,NA,NA,NA,NA,"Often","Often","Sometimes","Sometimes",NA,NA,NA,NA,NA,"Sometimes",NA,"More internal than external","Master's degree"
"39",NA,"Very useful",NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,"Very useful","Other","I don't plan on learning a new ML/DS method",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master's degree"
"40","Somewhat useful","Somewhat useful",NA,"Very useful",NA,NA,NA,NA,NA,"Very useful","Somewhat useful","Very useful",NA,"Somewhat useful","Very useful",NA,NA,NA,"Software Developer/Software Engineer","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Doctoral degree"
"41",NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,"Operations Research Practitioner",NA,NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,"Entirely external","Doctoral degree"
"42","Somewhat useful","Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,"Somewhat useful","Somewhat useful",NA,NA,NA,"Data Scientist","Monte Carlo Methods","Rarely","Often",NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,"Sometimes","Often",NA,NA,NA,"Often","Most of the time","Sometimes",NA,"More internal than external","Master's degree"
"43",NA,"Very useful",NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,"Very useful",NA,"Somewhat useful","Somewhat useful",NA,NA,NA,"Data Scientist","Monte Carlo Methods",NA,NA,NA,NA,NA,NA,"Rarely",NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,"Often","Often",NA,NA,"More internal than external","Master's degree"
"44",NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,"Somewhat useful",NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Some college/university study without earning a bachelor's degree"
"45",NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,"Very useful",NA,"Very useful",NA,NA,"Very useful","Very useful",NA,NA,NA,"Data Scientist","Deep learning","Most of the time","Most of the time",NA,NA,"Most of the time","Most of the time",NA,"Most of the time",NA,NA,NA,NA,NA,"Most of the time","Most of the time",NA,NA,"Most of the time",NA,NA,NA,NA,"Entirely internal","Master's degree"
"46",NA,"Very useful",NA,NA,NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,"Very useful","Somewhat useful",NA,NA,NA,"Data Scientist","Neural Nets",NA,NA,NA,NA,"Most of the time",NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,"Most of the time","Most of the time",NA,"More external than internal","Some college/university study without earning a bachelor's degree"
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful","Somewhat useful",NA,NA,NA,NA,NA,NA,"Software Developer/Software Engineer","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Some college/university study without earning a bachelor's degree"
"48",NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,"Neural Nets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor's degree"
"49","Very useful","Somewhat useful",NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful","Very useful",NA,NA,NA,"Scientist/Researcher","Deep learning","Rarely",NA,NA,NA,"Often",NA,NA,NA,"Rarely","Most of the time",NA,NA,NA,NA,NA,"Sometimes",NA,NA,NA,NA,"Most of the time",NA,"More internal than external","Doctoral degree"
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,"Neural Nets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Doctoral degree"
"51",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master's degree"
"52","Not Useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Business Analyst",NA,"Rarely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Entirely internal","Master's degree"
"53",NA,NA,"Very useful",NA,NA,"Very useful","Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful","Somewhat useful","Scientist/Researcher","Social Network Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know","Doctoral degree"
"54","Very useful","Very useful",NA,NA,NA,NA,"Very useful",NA,NA,NA,"Very useful","Very useful",NA,"Very useful",NA,NA,NA,"Very useful",NA,"Neural Nets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor's degree"
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",NA,"Somewhat useful",NA,NA,NA,NA,"Somewhat useful",NA,NA,"Very useful","Very useful","Very useful",NA,"Very useful","Somewhat useful",NA,NA,NA,"Other","Time Series Analysis",NA,NA,NA,NA,NA,"Often",NA,NA,"Most of the time",NA,NA,NA,NA,NA,NA,NA,"Most of the time",NA,NA,NA,NA,NA,"Entirely internal","Master's degree"
"57",NA,NA,"Very useful",NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor's degree"
"58",NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,NA,"Very useful","Somewhat useful",NA,NA,NA,NA,NA,NA,NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Professional degree"
"59","Very useful","Very useful","Somewhat useful",NA,"Somewhat useful",NA,"Somewhat useful",NA,"Somewhat useful","Very useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master's degree"
"60",NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,"Very useful",NA,"Very useful","Very useful",NA,NA,NA,"Researcher","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Entirely internal","Master's degree"
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other",NA,NA,NA,NA,NA,"Most of the time","Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Doctoral degree"
"62","Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,"Somewhat useful",NA,NA,NA,"Scientist/Researcher","Deep learning",NA,"Sometimes","Sometimes",NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes",NA,NA,NA,NA,"More external than internal","Doctoral degree"
"63",NA,"Somewhat useful",NA,NA,NA,"Very useful","Somewhat useful",NA,NA,NA,"Very useful","Very useful",NA,NA,NA,NA,NA,"Somewhat useful","Data Analyst","Neural Nets","Sometimes",NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"More external than internal","Bachelor's degree"
"64",NA,"Somewhat useful",NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,"Very useful",NA,NA,"Very useful",NA,NA,NA,"Engineer","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor's degree"
"65",NA,NA,NA,"Somewhat useful",NA,NA,"Somewhat useful",NA,NA,"Very useful","Somewhat useful",NA,NA,NA,NA,NA,"Very useful",NA,"Other","Neural Nets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",NA,"Very useful","Very useful",NA,"Very useful",NA,"Very useful",NA,NA,NA,NA,"Somewhat useful",NA,"Somewhat useful","Very useful",NA,NA,"Very useful","Data Scientist","Bayesian Methods","Often","Often",NA,NA,"Most of the time",NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,"Most of the time",NA,NA,"Entirely internal","Master's degree"
"67",NA,NA,NA,NA,NA,NA,NA,"Very useful","Very useful",NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,"Statistician","Survival Analysis",NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know","Master's degree"
"68","Very useful","Very useful","Very useful",NA,NA,NA,"Somewhat useful","Somewhat useful",NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,"Somewhat useful","Data Scientist","MARS",NA,"Often",NA,NA,NA,NA,NA,NA,NA,"Sometimes","Rarely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master's degree"
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,NA,"Data Scientist","Time Series Analysis","Sometimes",NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,"More external than internal","Doctoral degree"
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scientist/Researcher","Text Mining","Sometimes","Sometimes",NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes",NA,NA,NA,"Sometimes",NA,"Approximately half internal and half external","Doctoral degree"
"71","Very useful","Somewhat useful",NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,"Somewhat useful","Very useful",NA,NA,"Somewhat useful",NA,NA,NA,NA,"Bayesian Methods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Doctoral degree"
